# Auto-generated by tools/gen_minimap_markers.py - DO NOT EDIT
# TYPE  world  x  y  id  icon  "name"   (world = server map = client WorldActive; folder = world+1)
SPOT       1   7  55    -1 Npc_bless    "Thunder Lich - Lv. 44 (5)"
SPOT       1   9  91    -1 Npc_bless    "Thunder Lich - Lv. 44 (5)"
SPOT       1  10 111    -1 Npc_bless    "Thunder Lich - Lv. 44 (5)"
SPOT       1  15 245    -1 Npc_bless    "Hell Spider - Lv. 40 (5)"
SPOT       1  18 222    -1 Npc_bless    "Hell Spider - Lv. 40 (5)"
SPOT       1  25  95    -1 Hotspot      "Thunder Lich - Lv. 44 (7)"
SPOT       1  28 211    -1 Npc_bless    "Hell Spider - Lv. 40 (5)"
SPOT       1  37 248    -1 Npc_bless    "Hell Spider - Lv. 40 (5)"
SPOT       1  39  27    -1 Npc_bless    "Poison Bull Fighter - Lv. 46 (5)"
SPOT       1  39 117    -1 Npc_bless    "Thunder Lich - Lv. 44 (5)"
SPOT       1  40  55    -1 Npc_bless    "Thunder Lich - Lv. 44 (5)"
SPOT       1  42  87    -1 Npc_bless    "Thunder Lich - Lv. 44 (5)"
SPOT       1  43 162    -1 Hotspot      "Hell Spider - Lv. 40 (7)"
SPOT       1  47   6    -1 Npc_bless    "Poison Bull Fighter - Lv. 46 (5)"
SPOT       1  49 200    -1 Npc_bless    "Hell Spider - Lv. 40 (5)"
SPOT       1  51 231    -1 Npc_bless    "Hell Spider - Lv. 40 (5)"
SPOT       1  61 194    -1 Npc_bless    "Larva - Lv. 25 (5)"
SPOT       1  62 228    -1 Npc_bless    "Larva - Lv. 25 (5)"
SPOT       1  69 167    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1  69 108    -1 Npc_bless    "Chief Skeleton Warrior - Lv. 42 (5)"
SPOT       1  72 179    -1 Npc_bless    "Larva - Lv. 25 (5)"
SPOT       1  72  52    -1 Npc_bless    "Chief Skeleton Warrior - Lv. 42 (5)"
SPOT       1  73 244    -1 Npc_bless    "Larva - Lv. 25 (5)"
SPOT       1  77   8    -1 Npc_bless    "Poison Bull Fighter - Lv. 46 (5)"
SPOT       1  78 208    -1 Npc_bless    "Skeleton - Lv. 19 (5)"
SPOT       1  80 230    -1 Npc_bless    "Skeleton - Lv. 19 (5)"
SPOT       1  82 197    -1 Npc_bless    "Larva - Lv. 25 (5)"
SPOT       1  87 178    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1  87 113    -1 Npc_bless    "Chief Skeleton Warrior - Lv. 42 (5)"
SPOT       1  91 240    -1 Hotspot      "Skeleton - Lv. 19 (7)"
SPOT       1  95 101    -1 Npc_bless    "Chief Skeleton Warrior - Lv. 42 (5)"
SPOT       1  98 215    -1 Npc_bless    "Skeleton - Lv. 19 (5)"
SPOT       1  99 187    -1 Npc_bless    "Larva - Lv. 25 (5)"
SPOT       1  99 157    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1 100 208    -1 Npc_bless    "Skeleton - Lv. 19 (5)"
SPOT       1 100  50    -1 Npc_bless    "Chief Skeleton Warrior - Lv. 42 (5)"
SPOT       1 113  22    -1 Npc_bless    "Poison Bull Fighter - Lv. 46 (5)"
SPOT       1 118  46    -1 Hotspot      "Poison Bull Fighter - Lv. 46 (7)"
SPOT       1 119 232    -1 Npc_bless    "Skeleton - Lv. 19 (5)"
SPOT       1 119 166    -1 Hotspot      "Larva - Lv. 25 (7)"
SPOT       1 119 218    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1 119  74    -1 Hotspot      "Chief Skeleton Warrior - Lv. 42 (7)"
SPOT       1 120 178    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1 134 194    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1 134 241    -1 Hotspot      "Skeleton Archer - Lv. 34 (7)"
SPOT       1 136 149    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1 142 111    -1 Npc_bless    "Cyclops - Lv. 28 (5)"
SPOT       1 149  90    -1 Npc_bless    "Chief Skeleton Warrior - Lv. 42 (5)"
SPOT       1 153 195    -1 Npc_bless    "Skeleton Archer - Lv. 34 (5)"
SPOT       1 157 125    -1 Npc_bless    "Cyclops - Lv. 28 (5)"
SPOT       1 164 185    -1 Npc_bless    "Ghost - Lv. 32 (5)"
SPOT       1 170 126    -1 Npc_bless    "Cyclops - Lv. 28 (5)"
SPOT       1 176 160    -1 Npc_bless    "Ghost - Lv. 32 (5)"
SPOT       1 190 237    -1 Npc_bless    "Hell Hound - Lv. 38 (5)"
SPOT       1 200 118    -1 Npc_bless    "Cyclops - Lv. 28 (5)"
SPOT       1 206 226    -1 Npc_bless    "Hell Hound - Lv. 38 (5)"
SPOT       1 213 115    -1 Npc_bless    "Cyclops - Lv. 28 (5)"
SPOT       1 228 247    -1 Npc_bless    "Hell Hound - Lv. 38 (5)"
SPOT       1 228 173    -1 Hotspot      "Ghost - Lv. 32 (7)"
SPOT       1 231 116    -1 Npc_bless    "Cyclops - Lv. 28 (5)"
SPOT       1 241 246    -1 Hotspot      "Hell Hound - Lv. 38 (7)"
SPOT       1 243 188    -1 Npc_bless    "Ghost - Lv. 32 (5)"
SPOT       1 246 227    -1 Npc_bless    "Hell Hound - Lv. 38 (5)"
NPC        2 172  44   257 Npc_fix      "Shadow Phantom Soldier"
NPC        2 183  32   235 Npc_etc      "Sebina the Priest"
NPC        2 191  17   478 Npc_etc      "Delgado"
NPC        2 198  47   229 Npc_etc      "Marlon"
NPC        2 204  61   566 Npc_etc      "Mercenary Guild Manager Tercia"
NPC        2 209  30   233 Npc_etc      "Messenger of Archangel"
NPC        2 215  45   241 Npc_etc      "Royal Guard Captain Lorence"
NPC        2 219   9   233 Npc_etc      "Messenger of Archangel"
NPC        2 219  73   257 Npc_fix      "Shadow Phantom Soldier"
NPC        2 226  66   236 Npc_etc      "Golden Archer"
PORTAL     2   2 248     4 PortalFull   "Lost Tower (164, 2)"
PORTAL     2  53  92    57 PortalFull   "Raklion 1 (224, 212)"
PORTAL     2 160  57    87 PortalFull   "Map 87 (238, 89)"
PORTAL     2 164 246    51 PortalFull   "Elbeland (26, 30)"
PORTAL     2 244  36     0 PortalFull   "Lorencia (8, 40)"
SPOT       2  12 114    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2  12  90    -1 Hotspot      "Elite Yeti - Lv. 36 (7)"
SPOT       2  16  60    -1 Hotspot      "Hommerd - Lv. 24 (7)"
SPOT       2  46  56    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  50  40    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  50  68    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  56  14    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  62  58    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  64  40    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  66  72    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  66 136    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2  66 164    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2  72  12    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  80  36    -1 Npc_bless    "Hommerd - Lv. 24 (5)"
SPOT       2  84 124    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2  96 156    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 106 108    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 110  44    -1 Npc_bless    "Ice Monster - Lv. 22 (5)"
SPOT       2 110 188    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 112  10    -1 Npc_bless    "Ice Monster - Lv. 22 (5)"
SPOT       2 116  36    -1 Npc_bless    "Ice Monster - Lv. 22 (5)"
SPOT       2 124 236    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 126  18    -1 Npc_bless    "Ice Monster - Lv. 22 (5)"
SPOT       2 126 140    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 130  72    -1 Npc_bless    "Ice Monster - Lv. 22 (5)"
SPOT       2 134  54    -1 Npc_bless    "Ice Monster - Lv. 22 (5)"
SPOT       2 140 112    -1 Hotspot      "Assassin - Lv. 26 (7)"
SPOT       2 146  84    -1 Hotspot      "Ice Monster - Lv. 22 (7)"
SPOT       2 154 154    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 156 134    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 158  56    -1 Npc_bless    "Worm - Lv. 20 (5)"
SPOT       2 160 180    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 162 102    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 164  34    -1 Npc_bless    "Worm - Lv. 20 (5)"
SPOT       2 164  10    -1 Npc_bless    "Worm - Lv. 20 (5)"
SPOT       2 166 204    -1 Npc_bless    "Elite Yeti - Lv. 36 (5)"
SPOT       2 170  48    -1 Npc_bless    "Worm - Lv. 20 (5)"
SPOT       2 174  62    -1 Npc_bless    "Worm - Lv. 20 (5)"
SPOT       2 176  18    -1 Hotspot      "Worm - Lv. 20 (7)"
SPOT       2 176 122    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 188 100    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 196 144    -1 Npc_bless    "Yeti - Lv. 30 (5)"
SPOT       2 198 120    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 198 236    -1 Npc_bless    "Yeti - Lv. 30 (5)"
SPOT       2 198 170    -1 Hotspot      "Yeti - Lv. 30 (7)"
SPOT       2 204 188    -1 Npc_bless    "Yeti - Lv. 30 (5)"
SPOT       2 218 158    -1 Npc_bless    "Yeti - Lv. 30 (5)"
SPOT       2 224 124    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 226 184    -1 Npc_bless    "Yeti - Lv. 30 (5)"
SPOT       2 234  84    -1 Npc_bless    "Worm - Lv. 20 (5)"
SPOT       2 238 132    -1 Npc_bless    "Assassin - Lv. 26 (5)"
SPOT       2 244  88    -1 Npc_bless    "Worm - Lv. 20 (5)"
STORAGE    2 218  63   240 Npc_storage  "Safety Guardian"
NPC        3 166  85   257 Npc_fix      "Shadow Phantom Soldier"
NPC        3 167 118   257 Npc_fix      "Shadow Phantom Soldier"
NPC        3 171 105   237 Npc_etc      "Charon"
NPC        3 171 120   258 Npc_shop     "Quests Master"
NPC        3 179 129   451 Npc_etc      "Cherry Blossom Tree"
NPC        3 180 103   238 kind_17      "Chaos Goblin"
NPC        3 201 129   257 Npc_fix      "Shadow Phantom Soldier"
PORTAL     3 152   4     0 PortalFull   "Lorencia (215, 244)"
PORTAL     3 223  30    33 PortalFull   "Aida (77, 12)"
PORTAL     3 244 242     7 PortalFull   "Atlans (14, 12)"
SPOT       3  34 112    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3  36  86    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3  42  68    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3  54 176    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3  58 157    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3  64 114    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3  64 134    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3  66  66    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3  76 182    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3  84  90    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3  84 216    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3  86 116    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3  88 140    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3 100  54    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 100 210    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 102  82    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 106 152    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3 110 170    -1 Npc_bless    "Elite Goblin - Lv. 8 (5)"
SPOT       3 114  84    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 114 122    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 118  58    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 118  98    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 122 222    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 124 192    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 126  84    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 126  46    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 130  52    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 130 240    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 132  22    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 132 118    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 134  70    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 134 100    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 134 210    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 142 128    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 144 150    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 146  66    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 146 192    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 148  80    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 148 112    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 148 102    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 152 132    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 156  64    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 156  52    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 158 204    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 162 140    -1 Npc_bless    "Chain Scorpion - Lv. 5 (5)"
SPOT       3 164 242    -1 Npc_bless    "Beetle Monster - Lv. 10 (5)"
SPOT       3 166  60    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 166 227    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 166 180    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 170 168    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 172  72    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 172 196    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 178 146    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 180  68    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 184  38    -1 Npc_bless    "Goblin - Lv. 3 (5)"
SPOT       3 186  56    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       3 186 180    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 192 212    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 196  74    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 199  78    -1 Hotspot      "Death Bone, Destructive ogre soldier, ... - Lv. 24~74 (30)"
SPOT       3 200 178    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 202 156    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 204 216    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 204  88    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 204  56    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 208 240    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 210 198    -1 Npc_bless    "Hunter - Lv. 13 (5)"
SPOT       3 214 164    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 214  70    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 218 116    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 220 136    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 222  90    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 226 154    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 228 174    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
SPOT       3 228  62    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 234  80    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 236 108    -1 Npc_bless    "Agon - Lv. 16 (5)"
SPOT       3 238 138    -1 Npc_bless    "Forest Monster - Lv. 15 (5)"
STORAGE    3 172  96   240 Npc_storage  "Safety Guardian"
NPC        4 202  80   257 Npc_fix      "Shadow Phantom Soldier"
PORTAL     4   6   6     4 PortalFull   "Lost Tower (8, 86)"
PORTAL     4  18 250    10 PortalFull   "Icarus (15, 13)"
PORTAL     4 132  16     4 PortalFull   "Lost Tower (54, 54)"
PORTAL     4 134 246     4 PortalFull   "Lost Tower (88, 88)"
PORTAL     4 134 136     4 PortalFull   "Lost Tower (130, 54)"
PORTAL     4 164   0     2 PortalFull   "Devias (2, 246)"
PORTAL     4 166 164     4 PortalFull   "Lost Tower (86, 167)"
PORTAL     4 190   7     4 PortalFull   "Lost Tower (242, 238)"
SPOT       4   6  16    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4   6 190    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  12 102    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  14  50    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  16 170    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  22  10    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  22  26    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  24 102    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  24 192    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  24 232    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  30  40    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  30 122    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  30 136    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  32 170    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  38  56    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  38 192    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  38 232    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  54  26    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  54   8    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  54  90    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  54 114    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  54 134    -1 Npc_bless    "Death Knight - Lv. 62 (5)"
SPOT       4  54 176    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  54 214    -1 Npc_bless    "Death Gorgon - Lv. 64 (5)"
SPOT       4  84 190    -1 Npc_bless    "Death Cow - Lv. 57 (5)"
SPOT       4  84 210    -1 Npc_bless    "Death Cow - Lv. 57 (5)"
SPOT       4  84 230    -1 Npc_bless    "Death Cow - Lv. 57 (5)"
SPOT       4  84  26    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  84  54    -1 Npc_bless    "Devil - Lv. 60 (5)"
SPOT       4  84   8    -1 Npc_bless    "Devil - Lv. 60 (5)"
